skill_name,category,role,description,trigger_keywords,installable
stitch-prototype-skill,原型生成,Frontend|Design,使用 Stitch MCP 从文本描述生成 UI 原型,stitch|原型图|界面生成|文生页面|交互原型|设计迭代,false
mastergo-magic-skill,设计协作,Frontend|Design,使用 MasterGo Magic MCP 生成中保真原型和前端代码,MasterGo|设计稿转代码|C2D|D2C|fileId|layer_id,false
drawio-skill,可视化,Frontend|Backend|Design,生成 .drawio 流程图/架构图/ER图/UML并导出 PNG/SVG/PDF,画图|流程图|架构图|可视化|ER图|UML|模块图|服务图,false
mermaid-sequence-from-flow,可视化,Frontend,将自然语言业务流程转为 Mermaid 序列图,流程图|序列图|时序图|Mermaid|交互流程,false
restful-api-design-skill,API设计,Backend,RESTful API 设计/规范自检/OpenAPI 文档生成,API设计|接口设计|OpenAPI|接口文档|接口规范|RESTful,false
task-plan-skill,项目管理,Backend|Product,PRD/需求拆解为可执行任务计划（里程碑/依赖/风险/验收）,任务计划|研发排期|WBS|里程碑|项目计划|实施计划,false
usecase-prd-skill,需求文档,Product,将需求转为基于用例的 PRD（用户动作→系统响应→验收标准）,写需求|PRD|产品需求|用例|用户故事|功能拆解|需求文档,false
weekly-report-skill,工作汇报,Product,周报/月报生成结构化工作汇报（支持 PPT 模板）,周报|月报|工作汇报|整理汇报|PPT模板,false
prd-to-mastergo-interaction-skill,设计协作,Design|Product,从 PRD 提炼页面与用例生成 MasterGo 交互原型,PRD转原型|交互图|原型交互|页面流程|MasterGo MCP,false
find-skills,技能发现,General,帮助发现和查找仓库中的 AI 技能,有什么技能|找技能|能做什么|how do I|find a skill,true
personnel-recruitment,人力资源,General,结构化招聘（JD优化/简历筛选/面试设计/评分卡/录用建议）,招聘|岗位画像|JD优化|简历筛选|面试设计|评分卡,true
hardware-agent-prompt-skill,硬件AI,General,为硬件 AI 智能体生成提示词与角色设定（IoT/桌宠/音箱/机器人）,硬件智能体|设备人格|IoT|儿童陪伴|提示词|角色设定,true
elon-musk-perspective,思维模型,General,马斯克思维模型分析（第一性原理/五步算法/白痴指数/垂直整合）,马斯克视角|第一性原理|白痴指数|五步算法|垂直整合|成本拆解,true
